Country,Year,Population,Food supply kcal per capita per day,FoodSupplyperyear
Angola,Y1971,6041239,2004.5718999999999,4420185748313.2002
Angola,Y1972,6248965,1936.7043000000001,4417375045908.0703
Angola,Y1973,6497283,1863.6321,4419618983978.2695
Angola,Y1974,6761623,1796.4768999999999,4433691326993.1797
Angola,Y1975,7023994,1755.8960999999999,4501692339923.54
Angola,Y1976,7279630,1765.0050000000001,4689732922074.75
Angola,Y1977,7533814,1811.0986,4980235195642.0498
Angola,Y1978,7790774,1835.9336000000001,5220720471161.3398
Angola,Y1979,8058112,1805.1913,5309448292041.3398
Angola,Y1980,8341290,1800.9179999999999,5483022446040.2998
Angola,Y1981,8640478,1724.8087,5439657643693.8896
Angola,Y1982,8952971,1608.1835000000001,5255277386935.1504
Angola,Y1983,9278104,1582.1346000000001,5357911416691.4199
Angola,Y1984,9614756,1528.6196,5364516131848.4199
Angola,Y1985,9961993,1534.9306999999999,5581203644443.0596
Angola,Y1986,10320116,1484.8403000000001,5593159310178.2998
Angola,Y1987,10689247,1459.7429,5695296631327.6504
Angola,Y1988,11068051,1420.8273999999999,5739913395770.0498
Angola,Y1989,11454784,1391.6356000000001,5818423099719.2998
Angola,Y1990,11848385,1431.2578000000001,6189704108758.3496
Angola,Y1991,12248901,1401.1039000000001,6264123781062.0703
Angola,Y1992,12657361,1412.6068,6526154089809
Angola,Y1993,13075044,1360.2865999999999,6491819608877.7998
Angola,Y1994,13503753,1429.6389999999999,7046504556335.96
Angola,Y1995,13945205,1464.384,7453714303732.7998
Angola,Y1996,14400722,1496.7592,7867360796151.9805
Angola,Y1997,14871572,1489.6886,8086214114454.9102
Angola,Y1998,15359600,1498.5922,8401488515618.7998
Angola,Y1999,15866871,1536.9983999999999,8901384699102.3398
Angola,Y2000,16395477,1521.9807000000001,9108063839872.2695
Angola,Y2001,16945754,1556.0065999999999,9624212349081.3906
Angola,Y2002,17519418,1627.2575999999999,10405641222148
Angola,Y2003,18121476,1687.4918,11161642386172.301
Angola,Y2004,18758138,1729.0261,11838158219131.699
Angola,Y2005,19433604,1768.1686,12542089257836.6
Angola,Y2006,20149904,1800.5802000000001,13242754133619.801
Angola,Y2007,20905360,1841.1713,14048977329581.301
Angola,Y2008,21695636,1895.0784000000001,15006949872619.801
Angola,Y2009,22514276,1936.0552,15909941610272.801
Angola,Y2010,23356246,2357.9749999999999,20101807119075.301
Angola,Y2011,24220660,2430.0342000000001,21482816733498.801
Angola,Y2012,25107926,2389.0070000000001,21893799003860.898
Angola,Y2013,26015786,2472.0203000000001,23473716156046.398
Angola,Y2014,26941774,2517.0210000000002,24751748991367.699
Angola,Y2015,27884380,2447.9666000000002,24914911279123.398
Angola,Y2016,28842482,2407.9596999999999,25349810020951
Angola,Y2017,29816770,2441.0187999999998,26565903085725.699
Angola,Y2018,30809788,2451.0167999999999,27563087417240
Angola,Y2019,31825298,2444.9769999999999,28401424394273.301
Antigua and Barbuda,Y1961,55005,2007.8175000000001,40310600579.4375
Antigua and Barbuda,Y1962,55849,2190.9077000000002,44661401510.114502
Antigua and Barbuda,Y1963,56701,2062.8208,42691860795.991997
Antigua and Barbuda,Y1964,57641,2176.1244999999999,45783407191.142502
Antigua and Barbuda,Y1965,58699,2271.2483000000002,48661801446.0205
Antigua and Barbuda,Y1966,59912,2211.4434000000001,48359578897.991997
Antigua and Barbuda,Y1967,61240,1983.3115,44332168634.900002
Antigua and Barbuda,Y1968,62523,2022.3117999999999,46150965245.060997
Antigua and Barbuda,Y1969,63553,2069.4539,48004801352.945503
Antigua and Barbuda,Y1970,64184,2268.4780000000001,53143997062.480003
Antigua and Barbuda,Y1971,64353,2220.4094,52154852233.142998
Antigua and Barbuda,Y1972,64134,2044.4539,47858437344.249001
Antigua and Barbuda,Y1973,63649,1990.3534,46239661298.158997
Antigua and Barbuda,Y1974,63108,1966.9613999999999,45307815011.388
